model,assignment,emotion,personality,passed,evaluated,total,pass_at_1
mistral_small_3_24b_awq,shared54,neutral,HHH,81,282,282,0.2872340425531915
mistral_small_3_24b_awq,shared54,neutral,HHL,81,282,282,0.2872340425531915
mistral_small_3_24b_awq,shared54,neutral,HLH,84,282,282,0.2978723404255319
mistral_small_3_24b_awq,shared54,neutral,HLL,90,282,282,0.3191489361702128
mistral_small_3_24b_awq,shared54,neutral,LHH,94,282,282,0.3333333333333333
mistral_small_3_24b_awq,shared54,neutral,LHL,84,282,282,0.2978723404255319
mistral_small_3_24b_awq,shared54,neutral,LLH,83,282,282,0.29432624113475175
mistral_small_3_24b_awq,shared54,neutral,LLL,86,282,282,0.3049645390070922
mistral_small_3_24b_awq,shared54,neutral,NNN,84,282,282,0.2978723404255319
mistral_small_3_24b_awq,shared54,sadness,HHH,82,282,282,0.2907801418439716
mistral_small_3_24b_awq,shared54,sadness,HHL,87,282,282,0.30851063829787234
mistral_small_3_24b_awq,shared54,sadness,HLH,83,282,282,0.29432624113475175
mistral_small_3_24b_awq,shared54,sadness,HLL,74,282,282,0.2624113475177305
mistral_small_3_24b_awq,shared54,sadness,LHH,82,282,282,0.2907801418439716
mistral_small_3_24b_awq,shared54,sadness,LHL,84,282,282,0.2978723404255319
mistral_small_3_24b_awq,shared54,sadness,LLH,92,282,282,0.3262411347517731
mistral_small_3_24b_awq,shared54,sadness,LLL,82,282,282,0.2907801418439716
mistral_small_3_24b_awq,shared54,sadness,NNN,80,282,282,0.28368794326241137
qwen2.5-32b-awq,shared54,anger,HHH,114,282,282,0.40425531914893614
qwen2.5-32b-awq,shared54,anger,HHL,109,282,282,0.38652482269503546
qwen2.5-32b-awq,shared54,anger,HLH,118,282,282,0.41843971631205673
qwen2.5-32b-awq,shared54,anger,HLL,108,282,282,0.3829787234042553
qwen2.5-32b-awq,shared54,anger,LHH,105,282,282,0.3723404255319149
qwen2.5-32b-awq,shared54,anger,LHL,113,282,282,0.40070921985815605
qwen2.5-32b-awq,shared54,anger,LLH,111,282,282,0.39361702127659576
qwen2.5-32b-awq,shared54,anger,LLL,114,282,282,0.40425531914893614
qwen2.5-32b-awq,shared54,anger,NNN,111,282,282,0.39361702127659576
qwen2.5-32b-awq,shared54,disgust,HHH,110,282,282,0.3900709219858156
qwen2.5-32b-awq,shared54,disgust,HHL,114,282,282,0.40425531914893614
qwen2.5-32b-awq,shared54,disgust,HLH,116,282,282,0.41134751773049644
qwen2.5-32b-awq,shared54,disgust,HLL,108,282,282,0.3829787234042553
qwen2.5-32b-awq,shared54,disgust,LHH,110,282,282,0.3900709219858156
qwen2.5-32b-awq,shared54,disgust,LHL,119,282,282,0.4219858156028369
qwen2.5-32b-awq,shared54,disgust,LLH,113,282,282,0.40070921985815605
qwen2.5-32b-awq,shared54,disgust,LLL,117,282,282,0.4148936170212766
qwen2.5-32b-awq,shared54,disgust,NNN,108,282,282,0.3829787234042553
qwen2.5-32b-awq,shared54,fear,HHH,119,282,282,0.4219858156028369
qwen2.5-32b-awq,shared54,fear,HHL,117,282,282,0.4148936170212766
qwen2.5-32b-awq,shared54,fear,HLH,114,282,282,0.40425531914893614
qwen2.5-32b-awq,shared54,fear,HLL,109,282,282,0.38652482269503546
qwen2.5-32b-awq,shared54,fear,LHH,110,282,282,0.3900709219858156
qwen2.5-32b-awq,shared54,fear,LHL,107,282,282,0.37943262411347517
qwen2.5-32b-awq,shared54,fear,LLH,109,282,282,0.38652482269503546
qwen2.5-32b-awq,shared54,fear,LLL,110,282,282,0.3900709219858156
qwen2.5-32b-awq,shared54,fear,NNN,122,282,282,0.4326241134751773
qwen2.5-32b-awq,shared54,happiness,HHH,118,282,282,0.41843971631205673
qwen2.5-32b-awq,shared54,happiness,HHL,114,282,282,0.40425531914893614
qwen2.5-32b-awq,shared54,happiness,HLH,121,282,282,0.42907801418439717
qwen2.5-32b-awq,shared54,happiness,HLL,115,282,282,0.4078014184397163
qwen2.5-32b-awq,shared54,happiness,LHH,121,282,282,0.42907801418439717
qwen2.5-32b-awq,shared54,happiness,LHL,122,282,282,0.4326241134751773
qwen2.5-32b-awq,shared54,happiness,LLH,110,282,282,0.3900709219858156
qwen2.5-32b-awq,shared54,happiness,LLL,119,282,282,0.4219858156028369
qwen2.5-32b-awq,shared54,happiness,NNN,118,282,282,0.41843971631205673
qwen2.5-32b-awq,shared54,neutral,HHH,109,282,282,0.38652482269503546
qwen2.5-32b-awq,shared54,neutral,HHL,113,282,282,0.40070921985815605
qwen2.5-32b-awq,shared54,neutral,HLH,115,282,282,0.4078014184397163
qwen2.5-32b-awq,shared54,neutral,HLL,117,282,282,0.4148936170212766
qwen2.5-32b-awq,shared54,neutral,LHH,119,282,282,0.4219858156028369
qwen2.5-32b-awq,shared54,neutral,LHL,113,282,282,0.40070921985815605
qwen2.5-32b-awq,shared54,neutral,LLH,118,282,282,0.41843971631205673
qwen2.5-32b-awq,shared54,neutral,LLL,118,282,282,0.41843971631205673
qwen2.5-32b-awq,shared54,neutral,NNN,122,282,282,0.4326241134751773
qwen2.5-32b-awq,shared54,sadness,HHH,124,282,282,0.4397163120567376
qwen2.5-32b-awq,shared54,sadness,HHL,110,282,282,0.3900709219858156
qwen2.5-32b-awq,shared54,sadness,HLH,114,282,282,0.40425531914893614
qwen2.5-32b-awq,shared54,sadness,HLL,113,282,282,0.40070921985815605
qwen2.5-32b-awq,shared54,sadness,LHH,121,282,282,0.42907801418439717
qwen2.5-32b-awq,shared54,sadness,LHL,114,282,282,0.40425531914893614
qwen2.5-32b-awq,shared54,sadness,LLH,120,282,282,0.425531914893617
qwen2.5-32b-awq,shared54,sadness,LLL,100,282,282,0.3546099290780142
qwen2.5-32b-awq,shared54,sadness,NNN,116,282,282,0.41134751773049644
qwen2_5_1_5b,shared54,anger,HHH,26,282,282,0.09219858156028368
qwen2_5_1_5b,shared54,anger,HHL,27,282,282,0.09574468085106383
qwen2_5_1_5b,shared54,anger,HLH,25,282,282,0.08865248226950355
qwen2_5_1_5b,shared54,anger,HLL,24,282,282,0.0851063829787234
qwen2_5_1_5b,shared54,anger,LHH,28,282,282,0.09929078014184398
qwen2_5_1_5b,shared54,anger,LHL,24,282,282,0.0851063829787234
qwen2_5_1_5b,shared54,anger,LLH,13,282,282,0.04609929078014184
qwen2_5_1_5b,shared54,anger,LLL,12,282,282,0.0425531914893617
qwen2_5_1_5b,shared54,anger,NNN,21,282,282,0.07446808510638298
qwen2_5_1_5b,shared54,disgust,HHH,32,282,282,0.11347517730496454
qwen2_5_1_5b,shared54,disgust,HHL,26,282,282,0.09219858156028368
qwen2_5_1_5b,shared54,disgust,HLH,25,282,282,0.08865248226950355
qwen2_5_1_5b,shared54,disgust,HLL,24,282,282,0.0851063829787234
qwen2_5_1_5b,shared54,disgust,LHH,28,282,282,0.09929078014184398
qwen2_5_1_5b,shared54,disgust,LHL,22,282,282,0.07801418439716312
qwen2_5_1_5b,shared54,disgust,LLH,20,282,282,0.07092198581560284
qwen2_5_1_5b,shared54,disgust,LLL,21,282,282,0.07446808510638298
qwen2_5_1_5b,shared54,disgust,NNN,24,282,282,0.0851063829787234
qwen2_5_1_5b,shared54,fear,HHH,22,282,282,0.07801418439716312
qwen2_5_1_5b,shared54,fear,HHL,23,282,282,0.08156028368794327
qwen2_5_1_5b,shared54,fear,HLH,25,282,282,0.08865248226950355
qwen2_5_1_5b,shared54,fear,HLL,23,282,282,0.08156028368794327
qwen2_5_1_5b,shared54,fear,LHH,20,282,282,0.07092198581560284
qwen2_5_1_5b,shared54,fear,LHL,26,282,282,0.09219858156028368
qwen2_5_1_5b,shared54,fear,LLH,16,282,282,0.05673758865248227
qwen2_5_1_5b,shared54,fear,LLL,32,282,282,0.11347517730496454
qwen2_5_1_5b,shared54,fear,NNN,25,282,282,0.08865248226950355
qwen2_5_1_5b,shared54,happiness,HHH,21,282,282,0.07446808510638298
qwen2_5_1_5b,shared54,happiness,HHL,24,282,282,0.0851063829787234
qwen2_5_1_5b,shared54,happiness,HLH,17,282,282,0.06028368794326241
qwen2_5_1_5b,shared54,happiness,HLL,27,282,282,0.09574468085106383
qwen2_5_1_5b,shared54,happiness,LHH,27,282,282,0.09574468085106383
qwen2_5_1_5b,shared54,happiness,LHL,22,282,282,0.07801418439716312
qwen2_5_1_5b,shared54,happiness,LLH,17,282,282,0.06028368794326241
qwen2_5_1_5b,shared54,happiness,LLL,21,282,282,0.07446808510638298
qwen2_5_1_5b,shared54,happiness,NNN,29,282,282,0.10283687943262411
qwen2_5_1_5b,shared54,neutral,HHH,23,282,282,0.08156028368794327
qwen2_5_1_5b,shared54,neutral,HHL,23,282,282,0.08156028368794327
qwen2_5_1_5b,shared54,neutral,HLH,23,282,282,0.08156028368794327
qwen2_5_1_5b,shared54,neutral,HLL,21,282,282,0.07446808510638298
qwen2_5_1_5b,shared54,neutral,LHH,19,282,282,0.0673758865248227
qwen2_5_1_5b,shared54,neutral,LHL,24,282,282,0.0851063829787234
qwen2_5_1_5b,shared54,neutral,LLH,25,282,282,0.08865248226950355
qwen2_5_1_5b,shared54,neutral,LLL,21,282,282,0.07446808510638298
qwen2_5_1_5b,shared54,neutral,NNN,21,282,282,0.07446808510638298
qwen2_5_1_5b,shared54,sadness,HHH,22,282,282,0.07801418439716312
qwen2_5_1_5b,shared54,sadness,HHL,15,282,282,0.05319148936170213
qwen2_5_1_5b,shared54,sadness,HLH,28,282,282,0.09929078014184398
qwen2_5_1_5b,shared54,sadness,HLL,25,282,282,0.08865248226950355
qwen2_5_1_5b,shared54,sadness,LHH,23,282,282,0.08156028368794327
qwen2_5_1_5b,shared54,sadness,LHL,23,282,282,0.08156028368794327
qwen2_5_1_5b,shared54,sadness,LLH,25,282,282,0.08865248226950355
qwen2_5_1_5b,shared54,sadness,LLL,22,282,282,0.07801418439716312
qwen2_5_1_5b,shared54,sadness,NNN,22,282,282,0.07801418439716312
