model,assignment,planner_profile,implementer_profile,reviewer_profile,passed,evaluated,total,pass_at_1
mistral_small_3_24b_awq,mixed24,LHH_neutral,LLH_fear,LLH_fear,94,282,282,0.3333333333333333
mistral_small_3_24b_awq,mixed24,LLH_fear,HHH_happiness,HHH_happiness,95,282,282,0.33687943262411346
mistral_small_3_24b_awq,mixed24,LLH_fear,HHH_happiness,LHH_neutral,96,282,282,0.3404255319148936
mistral_small_3_24b_awq,mixed24,LLH_fear,HHH_happiness,LLH_fear,90,282,282,0.3191489361702128
mistral_small_3_24b_awq,mixed24,LLH_fear,LHH_neutral,HHH_happiness,90,282,282,0.3191489361702128
mistral_small_3_24b_awq,mixed24,LLH_fear,LHH_neutral,LHH_neutral,94,282,282,0.3333333333333333
mistral_small_3_24b_awq,mixed24,LLH_fear,LHH_neutral,LLH_fear,88,282,282,0.3120567375886525
mistral_small_3_24b_awq,mixed24,LLH_fear,LLH_fear,HHH_happiness,89,282,282,0.31560283687943264
mistral_small_3_24b_awq,mixed24,LLH_fear,LLH_fear,LHH_neutral,95,282,282,0.33687943262411346
qwen2.5-32b-awq,mixed24,HHH_sadness,HHH_sadness,LHL_happiness,124,282,282,0.4397163120567376
qwen2.5-32b-awq,mixed24,HHH_sadness,HHH_sadness,NNN_fear,127,282,282,0.450354609929078
qwen2.5-32b-awq,mixed24,HHH_sadness,LHL_happiness,HHH_sadness,123,282,282,0.43617021276595747
qwen2.5-32b-awq,mixed24,HHH_sadness,LHL_happiness,LHL_happiness,119,282,282,0.4219858156028369
qwen2.5-32b-awq,mixed24,HHH_sadness,LHL_happiness,NNN_fear,126,282,282,0.44680851063829785
qwen2.5-32b-awq,mixed24,HHH_sadness,NNN_fear,HHH_sadness,124,282,282,0.4397163120567376
qwen2.5-32b-awq,mixed24,HHH_sadness,NNN_fear,LHL_happiness,123,282,282,0.43617021276595747
qwen2.5-32b-awq,mixed24,HHH_sadness,NNN_fear,NNN_fear,120,282,282,0.425531914893617
qwen2.5-32b-awq,mixed24,LHL_happiness,HHH_sadness,HHH_sadness,103,282,282,0.36524822695035464
qwen2.5-32b-awq,mixed24,LHL_happiness,HHH_sadness,LHL_happiness,113,282,282,0.40070921985815605
qwen2.5-32b-awq,mixed24,LHL_happiness,HHH_sadness,NNN_fear,116,282,282,0.41134751773049644
qwen2.5-32b-awq,mixed24,LHL_happiness,LHL_happiness,HHH_sadness,111,282,282,0.39361702127659576
qwen2.5-32b-awq,mixed24,LHL_happiness,LHL_happiness,NNN_fear,118,282,282,0.41843971631205673
qwen2.5-32b-awq,mixed24,LHL_happiness,NNN_fear,HHH_sadness,103,282,282,0.36524822695035464
qwen2.5-32b-awq,mixed24,LHL_happiness,NNN_fear,LHL_happiness,115,282,282,0.4078014184397163
qwen2.5-32b-awq,mixed24,LHL_happiness,NNN_fear,NNN_fear,112,282,282,0.3971631205673759
qwen2.5-32b-awq,mixed24,NNN_fear,HHH_sadness,HHH_sadness,112,282,282,0.3971631205673759
qwen2.5-32b-awq,mixed24,NNN_fear,HHH_sadness,LHL_happiness,117,282,282,0.4148936170212766
qwen2.5-32b-awq,mixed24,NNN_fear,HHH_sadness,NNN_fear,122,282,282,0.4326241134751773
qwen2.5-32b-awq,mixed24,NNN_fear,LHL_happiness,HHH_sadness,105,282,282,0.3723404255319149
qwen2.5-32b-awq,mixed24,NNN_fear,LHL_happiness,LHL_happiness,121,282,282,0.42907801418439717
qwen2.5-32b-awq,mixed24,NNN_fear,LHL_happiness,NNN_fear,118,282,282,0.41843971631205673
qwen2.5-32b-awq,mixed24,NNN_fear,NNN_fear,HHH_sadness,111,282,282,0.39361702127659576
qwen2.5-32b-awq,mixed24,NNN_fear,NNN_fear,LHL_happiness,117,282,282,0.4148936170212766
qwen2_5_1_5b,mixed24,HHH_disgust,HHH_disgust,LLL_fear,23,282,282,0.08156028368794327
qwen2_5_1_5b,mixed24,HHH_disgust,HHH_disgust,NNN_happiness,22,282,282,0.07801418439716312
qwen2_5_1_5b,mixed24,HHH_disgust,LLL_fear,HHH_disgust,27,282,282,0.09574468085106383
qwen2_5_1_5b,mixed24,HHH_disgust,LLL_fear,LLL_fear,26,282,282,0.09219858156028368
qwen2_5_1_5b,mixed24,HHH_disgust,LLL_fear,NNN_happiness,25,282,282,0.08865248226950355
qwen2_5_1_5b,mixed24,HHH_disgust,NNN_happiness,HHH_disgust,24,282,282,0.0851063829787234
qwen2_5_1_5b,mixed24,HHH_disgust,NNN_happiness,LLL_fear,25,282,282,0.08865248226950355
qwen2_5_1_5b,mixed24,HHH_disgust,NNN_happiness,NNN_happiness,29,282,282,0.10283687943262411
qwen2_5_1_5b,mixed24,LLL_fear,HHH_disgust,HHH_disgust,29,282,282,0.10283687943262411
qwen2_5_1_5b,mixed24,LLL_fear,HHH_disgust,LLL_fear,26,282,282,0.09219858156028368
qwen2_5_1_5b,mixed24,LLL_fear,HHH_disgust,NNN_happiness,24,282,282,0.0851063829787234
qwen2_5_1_5b,mixed24,LLL_fear,LLL_fear,HHH_disgust,24,282,282,0.0851063829787234
qwen2_5_1_5b,mixed24,LLL_fear,LLL_fear,NNN_happiness,23,282,282,0.08156028368794327
qwen2_5_1_5b,mixed24,LLL_fear,NNN_happiness,HHH_disgust,24,282,282,0.0851063829787234
qwen2_5_1_5b,mixed24,LLL_fear,NNN_happiness,LLL_fear,26,282,282,0.09219858156028368
qwen2_5_1_5b,mixed24,LLL_fear,NNN_happiness,NNN_happiness,24,282,282,0.0851063829787234
qwen2_5_1_5b,mixed24,NNN_happiness,HHH_disgust,HHH_disgust,25,282,282,0.08865248226950355
qwen2_5_1_5b,mixed24,NNN_happiness,HHH_disgust,LLL_fear,31,282,282,0.1099290780141844
qwen2_5_1_5b,mixed24,NNN_happiness,HHH_disgust,NNN_happiness,26,282,282,0.09219858156028368
qwen2_5_1_5b,mixed24,NNN_happiness,LLL_fear,HHH_disgust,26,282,282,0.09219858156028368
qwen2_5_1_5b,mixed24,NNN_happiness,LLL_fear,LLL_fear,27,282,282,0.09574468085106383
qwen2_5_1_5b,mixed24,NNN_happiness,LLL_fear,NNN_happiness,27,282,282,0.09574468085106383
qwen2_5_1_5b,mixed24,NNN_happiness,NNN_happiness,HHH_disgust,30,282,282,0.10638297872340426
qwen2_5_1_5b,mixed24,NNN_happiness,NNN_happiness,LLL_fear,29,282,282,0.10283687943262411
