model,assignment,question_id,emotion,personality,conscientiousness,openness,extraversion,passed,revised,overrevised,calls,prompt_tokens,completion_tokens,total_tokens
llama_3_1_8b,shared54,3203,anger,HLL,H,L,L,0,1,0,8,21935,5889,27824
llama_3_1_8b,shared54,3213,anger,HLL,H,L,L,0,1,1,8,12761,2696,15457
llama_3_1_8b,shared54,3220,anger,HLL,H,L,L,1,1,1,8,15436,4014,19450
llama_3_1_8b,shared54,3223,anger,HLL,H,L,L,0,1,0,8,12824,2916,15740
llama_3_1_8b,shared54,3225,anger,HLL,H,L,L,1,1,1,8,15052,3381,18433
llama_3_1_8b,shared54,3229,anger,HLL,H,L,L,1,1,0,5,8545,1796,10341
llama_3_1_8b,shared54,3243,anger,HLL,H,L,L,0,1,0,8,15664,3301,18965
llama_3_1_8b,shared54,3246,anger,HLL,H,L,L,0,1,1,8,12164,1811,13975
llama_3_1_8b,shared54,3249,anger,HLL,H,L,L,0,1,0,8,16259,6992,23251
llama_3_1_8b,shared54,3251,anger,HLL,H,L,L,1,1,1,8,12501,2952,15453
llama_3_1_8b,shared54,3261,anger,HLL,H,L,L,0,1,0,8,17834,3795,21629
llama_3_1_8b,shared54,3263,anger,HLL,H,L,L,0,1,0,8,15768,3663,19431
llama_3_1_8b,shared54,3265,anger,HLL,H,L,L,0,1,0,8,14040,2449,16489
llama_3_1_8b,shared54,3269,anger,HLL,H,L,L,0,1,1,8,16960,4850,21810
llama_3_1_8b,shared54,3298,anger,HLL,H,L,L,0,1,0,8,16658,4982,21640
llama_3_1_8b,shared54,3312,anger,HLL,H,L,L,1,1,1,8,12571,2614,15185
llama_3_1_8b,shared54,3324,anger,HLL,H,L,L,0,1,0,8,11707,2683,14390
llama_3_1_8b,shared54,3329,anger,HLL,H,L,L,0,1,0,8,19915,7412,27327
llama_3_1_8b,shared54,3345,anger,HLL,H,L,L,0,1,0,8,24163,9536,33699
llama_3_1_8b,shared54,3362,anger,HLL,H,L,L,0,1,0,8,14414,2810,17224
llama_3_1_8b,shared54,3388,anger,HLL,H,L,L,0,1,0,8,15894,4054,19948
llama_3_1_8b,shared54,3394,anger,HLL,H,L,L,0,1,0,8,11027,2441,13468
llama_3_1_8b,shared54,3402,anger,HLL,H,L,L,0,1,0,8,17535,3147,20682
llama_3_1_8b,shared54,3408,anger,HLL,H,L,L,0,1,1,8,9730,1691,11421
llama_3_1_8b,shared54,3412,anger,HLL,H,L,L,1,1,1,7,10826,2568,13394
llama_3_1_8b,shared54,3421,anger,HLL,H,L,L,0,1,0,8,11242,2130,13372
llama_3_1_8b,shared54,3426,anger,HLL,H,L,L,0,1,0,8,12303,1925,14228
llama_3_1_8b,shared54,3464,anger,HLL,H,L,L,0,1,0,8,19098,4867,23965
llama_3_1_8b,shared54,3471,anger,HLL,H,L,L,1,1,1,8,15781,4453,20234
llama_3_1_8b,shared54,3476,anger,HLL,H,L,L,1,1,1,8,10461,2998,13459
llama_3_1_8b,shared54,3478,anger,HLL,H,L,L,0,1,0,8,20329,6350,26679
llama_3_1_8b,shared54,3490,anger,HLL,H,L,L,0,1,0,8,12665,2550,15215
llama_3_1_8b,shared54,3495,anger,HLL,H,L,L,0,1,0,8,13947,2790,16737
llama_3_1_8b,shared54,3496,anger,HLL,H,L,L,0,1,0,8,16831,3314,20145
llama_3_1_8b,shared54,3510,anger,HLL,H,L,L,0,1,0,8,11811,2430,14241
llama_3_1_8b,shared54,3515,anger,HLL,H,L,L,1,1,0,5,9202,3195,12397
llama_3_1_8b,shared54,3517,anger,HLL,H,L,L,0,1,0,8,15353,3710,19063
llama_3_1_8b,shared54,3518,anger,HLL,H,L,L,0,1,0,8,15274,4332,19606
llama_3_1_8b,shared54,3527,anger,HLL,H,L,L,0,1,0,8,17455,4811,22266
llama_3_1_8b,shared54,3534,anger,HLL,H,L,L,0,1,0,8,12086,2470,14556
llama_3_1_8b,shared54,3535,anger,HLL,H,L,L,0,1,0,8,22790,11072,33862
llama_3_1_8b,shared54,3551,anger,HLL,H,L,L,0,1,0,8,28173,12855,41028
llama_3_1_8b,shared54,3555,anger,HLL,H,L,L,1,1,1,8,14432,3858,18290
llama_3_1_8b,shared54,3559,anger,HLL,H,L,L,0,1,0,8,13246,2233,15479
llama_3_1_8b,shared54,3560,anger,HLL,H,L,L,0,1,0,8,19949,5181,25130
llama_3_1_8b,shared54,3567,anger,HLL,H,L,L,0,1,1,8,12917,3006,15923
llama_3_1_8b,shared54,3571,anger,HLL,H,L,L,0,1,0,8,17976,6456,24432
llama_3_1_8b,shared54,3603,anger,HLL,H,L,L,0,1,0,8,17319,6159,23478
llama_3_1_8b,shared54,3605,anger,HLL,H,L,L,0,1,0,8,14360,2910,17270
llama_3_1_8b,shared54,3607,anger,HLL,H,L,L,0,1,0,8,19289,7462,26751
llama_3_1_8b,shared54,3621,anger,HLL,H,L,L,0,1,0,8,17750,4749,22499
llama_3_1_8b,shared54,3629,anger,HLL,H,L,L,0,1,0,8,12623,2295,14918
llama_3_1_8b,shared54,3637,anger,HLL,H,L,L,0,1,0,8,12940,3441,16381
llama_3_1_8b,shared54,3647,anger,HLL,H,L,L,0,1,0,8,15557,2720,18277
llama_3_1_8b,shared54,3648,anger,HLL,H,L,L,0,1,0,8,18661,4247,22908
llama_3_1_8b,shared54,3649,anger,HLL,H,L,L,0,1,0,8,14112,2422,16534
llama_3_1_8b,shared54,3657,anger,HLL,H,L,L,0,1,0,8,16546,3619,20165
llama_3_1_8b,shared54,3674,anger,HLL,H,L,L,0,1,0,8,14627,2841,17468
llama_3_1_8b,shared54,3676,anger,HLL,H,L,L,0,1,0,8,10943,2540,13483
llama_3_1_8b,shared54,3680,anger,HLL,H,L,L,0,1,0,8,13642,3824,17466
llama_3_1_8b,shared54,3683,anger,HLL,H,L,L,0,1,0,8,12269,2796,15065
llama_3_1_8b,shared54,3686,anger,HLL,H,L,L,0,1,0,8,12950,3099,16049
llama_3_1_8b,shared54,3696,anger,HLL,H,L,L,0,1,0,8,12541,3119,15660
llama_3_1_8b,shared54,3700,anger,HLL,H,L,L,0,1,0,8,14749,3018,17767
llama_3_1_8b,shared54,3702,anger,HLL,H,L,L,0,1,0,8,14516,3531,18047
llama_3_1_8b,shared54,3704,anger,HLL,H,L,L,1,1,1,8,12580,2555,15135
llama_3_1_8b,shared54,3709,anger,HLL,H,L,L,0,1,0,8,11076,2212,13288
llama_3_1_8b,shared54,3714,anger,HLL,H,L,L,0,1,0,8,15030,2999,18029
llama_3_1_8b,shared54,3722,anger,HLL,H,L,L,0,1,0,8,13457,3091,16548
llama_3_1_8b,shared54,3731,anger,HLL,H,L,L,0,1,0,8,12237,2168,14405
llama_3_1_8b,shared54,3736,anger,HLL,H,L,L,1,1,1,8,12052,2584,14636
llama_3_1_8b,shared54,3743,anger,HLL,H,L,L,0,1,0,8,17277,3945,21222
llama_3_1_8b,shared54,3744,anger,HLL,H,L,L,0,1,0,8,14389,2518,16907
llama_3_1_8b,shared54,3751,anger,HLL,H,L,L,0,1,0,8,13047,2656,15703
llama_3_1_8b,shared54,3771,anger,HLL,H,L,L,0,1,0,8,12803,2732,15535
llama_3_1_8b,shared54,3785,anger,HLL,H,L,L,0,1,0,8,15599,2874,18473
llama_3_1_8b,shared54,3786,anger,HLL,H,L,L,0,1,0,8,13617,3182,16799
llama_3_1_8b,shared54,3793,anger,HLL,H,L,L,0,1,0,8,18468,6507,24975
llama_3_1_8b,shared54,abc301_b,anger,HLL,H,L,L,0,1,0,8,18807,5241,24048
llama_3_1_8b,shared54,abc301_e,anger,HLL,H,L,L,0,1,0,8,18813,4526,23339
llama_3_1_8b,shared54,abc302_e,anger,HLL,H,L,L,0,1,0,8,18273,5290,23563
llama_3_1_8b,shared54,abc303_a,anger,HLL,H,L,L,0,1,1,8,12138,2334,14472
llama_3_1_8b,shared54,abc303_b,anger,HLL,H,L,L,0,1,0,8,19384,5657,25041
llama_3_1_8b,shared54,abc303_d,anger,HLL,H,L,L,0,1,0,8,15994,3214,19208
llama_3_1_8b,shared54,abc303_e,anger,HLL,H,L,L,0,1,0,8,17164,4116,21280
llama_3_1_8b,shared54,abc304_a,anger,HLL,H,L,L,0,1,0,8,16530,5642,22172
llama_3_1_8b,shared54,abc307_a,anger,HLL,H,L,L,0,1,0,8,13800,3391,17191
llama_3_1_8b,shared54,abc307_b,anger,HLL,H,L,L,0,1,1,8,12321,2520,14841
llama_3_1_8b,shared54,abc309_c,anger,HLL,H,L,L,0,1,0,8,17085,3873,20958
llama_3_1_8b,shared54,abc309_d,anger,HLL,H,L,L,0,1,0,8,19321,4911,24232
llama_3_1_8b,shared54,abc309_e,anger,HLL,H,L,L,0,1,0,8,18543,6164,24707
llama_3_1_8b,shared54,abc310_b,anger,HLL,H,L,L,0,1,0,8,30435,8973,39408
llama_3_1_8b,shared54,abc310_c,anger,HLL,H,L,L,0,1,0,8,12072,2119,14191
llama_3_1_8b,shared54,abc310_f,anger,HLL,H,L,L,0,1,0,8,16039,3846,19885
llama_3_1_8b,shared54,abc311_b,anger,HLL,H,L,L,1,0,0,3,4327,945,5272
llama_3_1_8b,shared54,abc312_e,anger,HLL,H,L,L,0,1,0,8,20268,5235,25503
llama_3_1_8b,shared54,abc312_f,anger,HLL,H,L,L,0,1,0,8,20468,6274,26742
llama_3_1_8b,shared54,abc313_a,anger,HLL,H,L,L,0,1,0,8,11159,1598,12757
llama_3_1_8b,shared54,abc315_b,anger,HLL,H,L,L,1,0,0,3,4151,778,4929
llama_3_1_8b,shared54,abc315_c,anger,HLL,H,L,L,0,1,0,8,15402,4114,19516
llama_3_1_8b,shared54,abc315_d,anger,HLL,H,L,L,0,1,0,8,19588,6972,26560
llama_3_1_8b,shared54,abc318_b,anger,HLL,H,L,L,0,1,0,8,20406,7859,28265
llama_3_1_8b,shared54,abc318_d,anger,HLL,H,L,L,0,1,0,8,19891,6857,26748
llama_3_1_8b,shared54,abc319_c,anger,HLL,H,L,L,0,1,0,8,21396,6007,27403
llama_3_1_8b,shared54,abc320_e,anger,HLL,H,L,L,0,1,0,8,21800,6448,28248
llama_3_1_8b,shared54,abc321_b,anger,HLL,H,L,L,0,1,0,8,18222,4697,22919
llama_3_1_8b,shared54,abc321_c,anger,HLL,H,L,L,0,1,0,8,13190,3678,16868
llama_3_1_8b,shared54,abc322_c,anger,HLL,H,L,L,0,1,0,8,14128,3625,17753
llama_3_1_8b,shared54,abc324_a,anger,HLL,H,L,L,1,1,1,8,11151,2004,13155
llama_3_1_8b,shared54,abc324_b,anger,HLL,H,L,L,0,1,0,5,6405,1418,7823
llama_3_1_8b,shared54,abc325_b,anger,HLL,H,L,L,0,1,0,8,16383,4813,21196
llama_3_1_8b,shared54,abc325_e,anger,HLL,H,L,L,0,1,0,8,18136,4408,22544
llama_3_1_8b,shared54,abc326_d,anger,HLL,H,L,L,0,1,0,8,21999,8607,30606
llama_3_1_8b,shared54,abc327_a,anger,HLL,H,L,L,1,1,1,8,10336,2030,12366
llama_3_1_8b,shared54,abc327_c,anger,HLL,H,L,L,0,1,0,8,24057,7136,31193
llama_3_1_8b,shared54,abc328_b,anger,HLL,H,L,L,0,1,0,8,13797,2608,16405
llama_3_1_8b,shared54,abc328_d,anger,HLL,H,L,L,0,1,0,8,11139,1916,13055
llama_3_1_8b,shared54,abc329_b,anger,HLL,H,L,L,0,1,1,8,11848,3215,15063
llama_3_1_8b,shared54,abc329_f,anger,HLL,H,L,L,0,1,0,8,17624,4585,22209
llama_3_1_8b,shared54,abc330_d,anger,HLL,H,L,L,0,1,0,8,23538,10153,33691
llama_3_1_8b,shared54,abc331_c,anger,HLL,H,L,L,0,1,0,8,22384,7915,30299
llama_3_1_8b,shared54,abc331_e,anger,HLL,H,L,L,0,1,0,8,19122,4737,23859
llama_3_1_8b,shared54,abc333_a,anger,HLL,H,L,L,0,1,0,8,13673,5220,18893
llama_3_1_8b,shared54,abc333_d,anger,HLL,H,L,L,0,1,0,8,17324,4875,22199
llama_3_1_8b,shared54,abc335_c,anger,HLL,H,L,L,0,1,0,8,19239,6740,25979
llama_3_1_8b,shared54,abc337_b,anger,HLL,H,L,L,0,1,0,8,15322,5602,20924
llama_3_1_8b,shared54,abc337_d,anger,HLL,H,L,L,0,1,0,8,25868,11337,37205
llama_3_1_8b,shared54,abc338_a,anger,HLL,H,L,L,1,1,1,8,10762,2276,13038
llama_3_1_8b,shared54,abc338_e,anger,HLL,H,L,L,0,1,0,8,17012,5617,22629
llama_3_1_8b,shared54,abc339_b,anger,HLL,H,L,L,0,1,0,8,17926,5674,23600
llama_3_1_8b,shared54,abc339_d,anger,HLL,H,L,L,0,1,0,8,21749,8418,30167
llama_3_1_8b,shared54,abc340_d,anger,HLL,H,L,L,0,1,0,8,18173,5727,23900
llama_3_1_8b,shared54,abc341_b,anger,HLL,H,L,L,0,1,0,8,21587,7439,29026
llama_3_1_8b,shared54,abc341_c,anger,HLL,H,L,L,0,1,0,8,20248,4292,24540
llama_3_1_8b,shared54,abc341_d,anger,HLL,H,L,L,0,1,0,8,12507,2638,15145
llama_3_1_8b,shared54,abc341_f,anger,HLL,H,L,L,0,1,0,8,24283,8051,32334
llama_3_1_8b,shared54,abc342_a,anger,HLL,H,L,L,1,1,1,8,11362,3085,14447
llama_3_1_8b,shared54,abc342_b,anger,HLL,H,L,L,0,1,0,8,13662,2110,15772
llama_3_1_8b,shared54,abc342_d,anger,HLL,H,L,L,0,1,0,8,16932,5797,22729
llama_3_1_8b,shared54,abc343_d,anger,HLL,H,L,L,0,1,0,8,20178,4875,25053
llama_3_1_8b,shared54,abc345_b,anger,HLL,H,L,L,1,0,0,3,3307,502,3809
llama_3_1_8b,shared54,abc345_d,anger,HLL,H,L,L,0,1,0,8,20877,7104,27981
llama_3_1_8b,shared54,abc346_b,anger,HLL,H,L,L,0,1,0,8,11089,2415,13504
llama_3_1_8b,shared54,abc347_a,anger,HLL,H,L,L,0,1,1,8,11354,2280,13634
llama_3_1_8b,shared54,abc348_a,anger,HLL,H,L,L,0,1,1,8,9319,1654,10973
llama_3_1_8b,shared54,abc348_c,anger,HLL,H,L,L,0,1,1,8,13634,2920,16554
llama_3_1_8b,shared54,abc349_c,anger,HLL,H,L,L,0,1,0,8,14035,4482,18517
llama_3_1_8b,shared54,abc349_d,anger,HLL,H,L,L,0,1,0,8,26183,9036,35219
llama_3_1_8b,shared54,abc349_e,anger,HLL,H,L,L,0,1,0,8,19962,5892,25854
llama_3_1_8b,shared54,abc351_a,anger,HLL,H,L,L,0,1,0,8,18037,4603,22640
llama_3_1_8b,shared54,abc352_b,anger,HLL,H,L,L,0,1,1,8,13283,2589,15872
llama_3_1_8b,shared54,abc352_e,anger,HLL,H,L,L,0,1,0,8,25764,9571,35335
llama_3_1_8b,shared54,abc353_a,anger,HLL,H,L,L,0,1,0,8,11783,2638,14421
llama_3_1_8b,shared54,abc354_a,anger,HLL,H,L,L,0,1,0,8,12040,2484,14524
llama_3_1_8b,shared54,abc354_b,anger,HLL,H,L,L,0,1,1,8,15379,3887,19266
llama_3_1_8b,shared54,abc354_c,anger,HLL,H,L,L,0,1,0,8,16823,5241,22064
llama_3_1_8b,shared54,abc354_d,anger,HLL,H,L,L,0,1,0,8,14806,3809,18615
llama_3_1_8b,shared54,abc355_c,anger,HLL,H,L,L,0,1,0,8,16058,4452,20510
llama_3_1_8b,shared54,abc355_d,anger,HLL,H,L,L,0,1,0,8,12564,3171,15735
llama_3_1_8b,shared54,abc355_e,anger,HLL,H,L,L,0,1,0,8,18639,4024,22663
llama_3_1_8b,shared54,abc356_e,anger,HLL,H,L,L,0,1,0,8,17074,4884,21958
llama_3_1_8b,shared54,abc358_a,anger,HLL,H,L,L,0,1,0,8,11603,3571,15174
llama_3_1_8b,shared54,abc359_d,anger,HLL,H,L,L,0,1,0,8,17010,5418,22428
llama_3_1_8b,shared54,abc360_a,anger,HLL,H,L,L,0,1,0,8,11219,2715,13934
llama_3_1_8b,shared54,abc360_b,anger,HLL,H,L,L,0,1,0,8,11763,2687,14450
llama_3_1_8b,shared54,abc360_c,anger,HLL,H,L,L,0,1,0,8,16354,3991,20345
llama_3_1_8b,shared54,abc360_e,anger,HLL,H,L,L,0,1,0,8,13967,3606,17573
llama_3_1_8b,shared54,abc363_e,anger,HLL,H,L,L,0,1,0,8,22753,6583,29336
llama_3_1_8b,shared54,abc364_f,anger,HLL,H,L,L,0,1,0,8,16129,3751,19880
llama_3_1_8b,shared54,abc365_c,anger,HLL,H,L,L,0,1,0,8,20234,7765,27999
llama_3_1_8b,shared54,abc365_d,anger,HLL,H,L,L,0,1,0,8,14604,3885,18489
llama_3_1_8b,shared54,abc366_a,anger,HLL,H,L,L,1,1,0,8,10452,1583,12035
llama_3_1_8b,shared54,abc366_c,anger,HLL,H,L,L,0,0,0,3,4436,926,5362
llama_3_1_8b,shared54,abc366_f,anger,HLL,H,L,L,0,1,0,8,15568,4201,19769
llama_3_1_8b,shared54,abc366_g,anger,HLL,H,L,L,0,1,0,8,20886,7517,28403
llama_3_1_8b,shared54,abc367_a,anger,HLL,H,L,L,0,1,0,8,12332,2652,14984
llama_3_1_8b,shared54,abc367_e,anger,HLL,H,L,L,0,1,0,8,19418,6585,26003
llama_3_1_8b,shared54,abc368_c,anger,HLL,H,L,L,0,1,0,8,16057,4597,20654
llama_3_1_8b,shared54,abc369_b,anger,HLL,H,L,L,0,1,0,8,13958,4536,18494
llama_3_1_8b,shared54,abc369_c,anger,HLL,H,L,L,0,1,0,8,14979,4143,19122
llama_3_1_8b,shared54,abc370_a,anger,HLL,H,L,L,0,1,1,8,10859,2362,13221
llama_3_1_8b,shared54,abc370_b,anger,HLL,H,L,L,0,1,0,8,18259,4257,22516
llama_3_1_8b,shared54,abc371_d,anger,HLL,H,L,L,0,1,0,8,17175,5268,22443
llama_3_1_8b,shared54,abc371_f,anger,HLL,H,L,L,0,1,0,8,26669,7646,34315
llama_3_1_8b,shared54,abc372_d,anger,HLL,H,L,L,0,1,0,8,14205,3541,17746
llama_3_1_8b,shared54,abc373_e,anger,HLL,H,L,L,0,1,0,8,17551,4864,22415
llama_3_1_8b,shared54,abc374_g,anger,HLL,H,L,L,0,1,0,8,18539,7464,26003
llama_3_1_8b,shared54,abc375_b,anger,HLL,H,L,L,0,1,0,8,18968,5826,24794
llama_3_1_8b,shared54,abc375_d,anger,HLL,H,L,L,0,1,0,8,12823,3423,16246
llama_3_1_8b,shared54,abc376_e,anger,HLL,H,L,L,0,1,0,8,15178,3844,19022
llama_3_1_8b,shared54,abc376_f,anger,HLL,H,L,L,0,1,0,8,19114,4616,23730
llama_3_1_8b,shared54,abc377_b,anger,HLL,H,L,L,0,1,1,8,14201,2711,16912
llama_3_1_8b,shared54,abc377_c,anger,HLL,H,L,L,0,1,0,8,21088,7444,28532
llama_3_1_8b,shared54,abc377_e,anger,HLL,H,L,L,0,1,0,8,19120,6729,25849
llama_3_1_8b,shared54,abc379_a,anger,HLL,H,L,L,1,1,1,8,11281,2768,14049
llama_3_1_8b,shared54,abc379_d,anger,HLL,H,L,L,0,1,0,8,16406,3795,20201
llama_3_1_8b,shared54,abc379_g,anger,HLL,H,L,L,0,1,0,8,20100,7988,28088
llama_3_1_8b,shared54,abc380_b,anger,HLL,H,L,L,1,1,1,8,12657,3342,15999
llama_3_1_8b,shared54,abc380_d,anger,HLL,H,L,L,0,1,0,8,27842,10113,37955
llama_3_1_8b,shared54,abc381_a,anger,HLL,H,L,L,0,1,1,8,12267,2599,14866
llama_3_1_8b,shared54,abc382_b,anger,HLL,H,L,L,0,1,0,8,18552,5979,24531
llama_3_1_8b,shared54,abc383_e,anger,HLL,H,L,L,0,1,0,8,24348,9006,33354
llama_3_1_8b,shared54,abc385_d,anger,HLL,H,L,L,0,1,0,8,21264,5281,26545
llama_3_1_8b,shared54,abc386_b,anger,HLL,H,L,L,0,1,0,8,11183,1905,13088
llama_3_1_8b,shared54,abc386_c,anger,HLL,H,L,L,0,1,0,8,13218,2789,16007
llama_3_1_8b,shared54,abc387_c,anger,HLL,H,L,L,0,1,0,8,12116,3527,15643
llama_3_1_8b,shared54,abc388_f,anger,HLL,H,L,L,0,1,0,8,16375,4643,21018
llama_3_1_8b,shared54,abc389_a,anger,HLL,H,L,L,1,1,1,7,8518,2048,10566
llama_3_1_8b,shared54,abc389_d,anger,HLL,H,L,L,0,1,0,8,12209,2316,14525
llama_3_1_8b,shared54,abc391_a,anger,HLL,H,L,L,1,1,0,5,5679,1108,6787
llama_3_1_8b,shared54,abc391_f,anger,HLL,H,L,L,0,1,0,8,19370,3646,23016
llama_3_1_8b,shared54,abc392_b,anger,HLL,H,L,L,0,1,1,8,13987,3586,17573
llama_3_1_8b,shared54,abc392_f,anger,HLL,H,L,L,0,1,0,8,13535,2998,16533
llama_3_1_8b,shared54,abc392_g,anger,HLL,H,L,L,0,1,0,8,15525,3994,19519
llama_3_1_8b,shared54,abc393_e,anger,HLL,H,L,L,0,1,0,8,16899,5391,22290
llama_3_1_8b,shared54,abc393_f,anger,HLL,H,L,L,0,1,0,8,16664,3965,20629
llama_3_1_8b,shared54,abc394_a,anger,HLL,H,L,L,1,1,1,5,5743,1570,7313
llama_3_1_8b,shared54,abc394_b,anger,HLL,H,L,L,1,0,0,3,3039,991,4030
llama_3_1_8b,shared54,abc394_e,anger,HLL,H,L,L,0,1,0,8,28151,12911,41062
llama_3_1_8b,shared54,abc396_a,anger,HLL,H,L,L,1,1,1,8,12234,1952,14186
llama_3_1_8b,shared54,abc396_e,anger,HLL,H,L,L,0,1,0,8,20686,5403,26089
llama_3_1_8b,shared54,abc399_c,anger,HLL,H,L,L,0,1,0,8,14277,3360,17637
llama_3_1_8b,shared54,abc400_e,anger,HLL,H,L,L,0,1,0,8,14851,4402,19253
llama_3_1_8b,shared54,arc181_b,anger,HLL,H,L,L,0,1,0,8,16371,3762,20133
llama_3_1_8b,shared54,arc181_c,anger,HLL,H,L,L,0,1,0,8,21499,6549,28048
llama_3_1_8b,shared54,arc182_c,anger,HLL,H,L,L,0,1,0,8,15589,3851,19440
llama_3_1_8b,shared54,arc183_d,anger,HLL,H,L,L,0,1,0,8,22806,6971,29777
llama_3_1_8b,shared54,arc185_e,anger,HLL,H,L,L,0,1,0,8,19916,5600,25516
llama_3_1_8b,shared54,arc186_b,anger,HLL,H,L,L,0,1,0,8,15472,6485,21957
llama_3_1_8b,shared54,arc186_c,anger,HLL,H,L,L,0,1,0,8,25440,10018,35458
llama_3_1_8b,shared54,arc188_d,anger,HLL,H,L,L,0,1,0,8,19441,4295,23736
llama_3_1_8b,shared54,arc189_c,anger,HLL,H,L,L,0,1,0,8,22472,4596,27068
llama_3_1_8b,shared54,arc189_d,anger,HLL,H,L,L,0,1,0,8,24340,8709,33049
llama_3_1_8b,shared54,arc190_a,anger,HLL,H,L,L,0,1,0,8,22950,7922,30872
llama_3_1_8b,shared54,arc190_c,anger,HLL,H,L,L,0,1,0,8,31382,9601,40983
llama_3_1_8b,shared54,arc191_a,anger,HLL,H,L,L,0,1,0,8,19625,7926,27551
llama_3_1_8b,shared54,arc192_a,anger,HLL,H,L,L,0,1,0,8,22470,8228,30698
llama_3_1_8b,shared54,arc193_a,anger,HLL,H,L,L,0,1,0,8,27142,9651,36793
llama_3_1_8b,shared54,arc193_b,anger,HLL,H,L,L,0,1,0,8,17562,4736,22298
llama_3_1_8b,shared54,arc194_a,anger,HLL,H,L,L,0,1,0,8,17860,4304,22164
llama_3_1_8b,shared54,arc194_b,anger,HLL,H,L,L,0,1,0,8,14885,4693,19578
llama_3_1_8b,shared54,arc195_c,anger,HLL,H,L,L,0,1,0,8,18095,3618,21713
llama_3_1_8b,shared54,arc195_d,anger,HLL,H,L,L,0,1,0,8,16699,5337,22036
llama_3_1_8b,shared54,1873_A,anger,LHH,L,H,H,0,1,0,8,12765,2763,15528
llama_3_1_8b,shared54,1873_D,anger,LHH,L,H,H,1,1,1,8,12988,2134,15122
