model,assignment,question_id,emotion,personality,conscientiousness,openness,extraversion,revised,bleu,calls,prompt_tokens,completion_tokens,total_tokens
llama_3_1_8b,shared54,11641,anger,HLL,H,L,L,1,4.76,6,9261,1968,11229
llama_3_1_8b,shared54,6865,anger,HLL,H,L,L,1,4.09,11,34145,4001,38146
llama_3_1_8b,shared54,8748,anger,HLL,H,L,L,1,1.98,11,49878,5510,55388
llama_3_1_8b,shared54,2339,anger,HLL,H,L,L,1,6.06,11,129068,4888,133956
llama_3_1_8b,shared54,5607,anger,HLL,H,L,L,1,3.81,11,16705,3474,20179
llama_3_1_8b,shared54,17502,anger,HLL,H,L,L,1,5.13,12,20939,4592,25531
llama_3_1_8b,shared54,8021,anger,HLL,H,L,L,1,5.95,11,26136,4437,30573
llama_3_1_8b,shared54,5354,anger,HLL,H,L,L,1,4.35,12,14369,3754,18123
llama_3_1_8b,shared54,15147,anger,HLL,H,L,L,1,3.76,11,11882,3084,14966
llama_3_1_8b,shared54,12433,anger,HLL,H,L,L,1,15.6,11,19314,3178,22492
llama_3_1_8b,shared54,8845,anger,HLL,H,L,L,1,2.14,9,18342,2848,21190
llama_3_1_8b,shared54,7196,anger,HLL,H,L,L,1,7.0,10,17414,3249,20663
llama_3_1_8b,shared54,10626,anger,HLL,H,L,L,1,5.54,11,24577,3130,27707
llama_3_1_8b,shared54,1832,anger,HLL,H,L,L,1,8.29,10,30692,4106,34798
llama_3_1_8b,shared54,7505,anger,HLL,H,L,L,1,3.42,8,19659,2715,22374
llama_3_1_8b,shared54,1051,anger,HLL,H,L,L,1,17.62,10,44725,4865,49590
llama_3_1_8b,shared54,10336,anger,HLL,H,L,L,1,5.52,11,11849,2787,14636
llama_3_1_8b,shared54,13145,anger,HLL,H,L,L,1,2.19,11,31582,4080,35662
llama_3_1_8b,shared54,8773,anger,HLL,H,L,L,1,1.86,11,16816,3454,20270
llama_3_1_8b,shared54,2168,anger,HLL,H,L,L,1,3.32,10,20731,3255,23986
llama_3_1_8b,shared54,6913,anger,HLL,H,L,L,1,5.96,12,17695,3732,21427
llama_3_1_8b,shared54,10311,anger,HLL,H,L,L,1,4.13,12,13938,3485,17423
llama_3_1_8b,shared54,6967,anger,HLL,H,L,L,1,8.5175,6,14691,1911,16602
llama_3_1_8b,shared54,16358,anger,HLL,H,L,L,1,6.59,11,15165,3234,18399
llama_3_1_8b,shared54,12964,anger,HLL,H,L,L,1,4.415,12,14058,3614,17672
llama_3_1_8b,shared54,15035,anger,HLL,H,L,L,1,5.83,9,15827,3506,19333
llama_3_1_8b,shared54,4681,anger,HLL,H,L,L,1,3.94,11,12746,3255,16001
llama_3_1_8b,shared54,8679,anger,HLL,H,L,L,1,3.675,9,16348,3106,19454
llama_3_1_8b,shared54,4575,anger,HLL,H,L,L,1,11.33,12,16970,3648,20618
llama_3_1_8b,shared54,8081,anger,HLL,H,L,L,1,4.5,12,17614,3970,21584
llama_3_1_8b,shared54,17661,anger,HLL,H,L,L,1,4.37,12,14440,4077,18517
llama_3_1_8b,shared54,8609,anger,HLL,H,L,L,1,4.97,12,16193,3814,20007
llama_3_1_8b,shared54,14038,anger,HLL,H,L,L,1,3.96,11,27565,4336,31901
llama_3_1_8b,shared54,13087,anger,HLL,H,L,L,1,4.92,12,15371,3297,18668
llama_3_1_8b,shared54,11861,anger,HLL,H,L,L,1,1.95,11,22751,3495,26246
llama_3_1_8b,shared54,7186,anger,HLL,H,L,L,1,2.57,12,24771,4571,29342
llama_3_1_8b,shared54,4532,anger,HLL,H,L,L,1,4.220000000000001,12,33660,4044,37704
llama_3_1_8b,shared54,16696,anger,HLL,H,L,L,1,2.5575,12,26792,5386,32178
llama_3_1_8b,shared54,16171,anger,HLL,H,L,L,1,9.65,10,31075,4472,35547
llama_3_1_8b,shared54,2978,anger,HLL,H,L,L,1,4.45,12,16255,3624,19879
llama_3_1_8b,shared54,1543,anger,HLL,H,L,L,1,0.87,10,21720,3424,25144
llama_3_1_8b,shared54,3592,anger,HLL,H,L,L,1,4.37,12,18936,4073,23009
llama_3_1_8b,shared54,5008,anger,HLL,H,L,L,1,4.32,12,24139,4458,28597
llama_3_1_8b,shared54,5242,anger,HLL,H,L,L,1,5.0,12,17516,4332,21848
llama_3_1_8b,shared54,13833,anger,HLL,H,L,L,1,3.12,12,12822,3001,15823
llama_3_1_8b,shared54,2081,anger,HLL,H,L,L,1,4.55,11,13974,3115,17089
llama_3_1_8b,shared54,12608,anger,HLL,H,L,L,1,5.93,9,15015,3262,18277
llama_3_1_8b,shared54,12504,anger,HLL,H,L,L,1,4.77,11,15649,3546,19195
llama_3_1_8b,shared54,15337,anger,HLL,H,L,L,1,4.91,11,37445,3915,41360
llama_3_1_8b,shared54,17338,anger,HLL,H,L,L,1,6.98,12,13903,3512,17415
llama_3_1_8b,shared54,8238,anger,HLL,H,L,L,1,4.71,12,27911,4407,32318
llama_3_1_8b,shared54,18128,anger,HLL,H,L,L,1,4.71,11,27031,3785,30816
llama_3_1_8b,shared54,376,anger,HLL,H,L,L,1,1.835,10,18162,4176,22338
llama_3_1_8b,shared54,3753,anger,HLL,H,L,L,1,4.37,10,22370,3648,26018
llama_3_1_8b,shared54,17595,anger,HLL,H,L,L,1,3.96,9,17370,2781,20151
llama_3_1_8b,shared54,8743,anger,HLL,H,L,L,1,5.75,12,24938,3669,28607
llama_3_1_8b,shared54,11146,anger,HLL,H,L,L,1,0.66,12,18365,4095,22460
llama_3_1_8b,shared54,3655,anger,HLL,H,L,L,1,8.69,12,15465,3966,19431
llama_3_1_8b,shared54,9617,anger,HLL,H,L,L,1,7.81,11,12591,2871,15462
llama_3_1_8b,shared54,14246,anger,HLL,H,L,L,1,6.96,5,9728,1115,10843
llama_3_1_8b,shared54,5182,anger,HLL,H,L,L,1,3.84,12,53222,4889,58111
llama_3_1_8b,shared54,14867,anger,HLL,H,L,L,1,7.32,12,17316,3372,20688
llama_3_1_8b,shared54,106,anger,HLL,H,L,L,1,6.21,12,17811,4623,22434
llama_3_1_8b,shared54,8630,anger,HLL,H,L,L,1,7.55,9,15258,3281,18539
llama_3_1_8b,shared54,16403,anger,HLL,H,L,L,1,4.5,11,190406,5877,196283
llama_3_1_8b,shared54,5854,anger,HLL,H,L,L,1,5.95,12,15918,3727,19645
llama_3_1_8b,shared54,16635,anger,HLL,H,L,L,1,4.79,12,17877,3922,21799
llama_3_1_8b,shared54,3486,anger,HLL,H,L,L,1,6.385,11,13138,3718,16856
llama_3_1_8b,shared54,9779,anger,HLL,H,L,L,1,4.885,12,20118,3617,23735
llama_3_1_8b,shared54,6517,anger,HLL,H,L,L,1,4.71,12,20210,3732,23942
llama_3_1_8b,shared54,12252,anger,HLL,H,L,L,1,3.44,12,38861,4032,42893
llama_3_1_8b,shared54,5293,anger,HLL,H,L,L,1,4.01,11,11938,3265,15203
llama_3_1_8b,shared54,17674,anger,HLL,H,L,L,1,4.13,12,37827,5043,42870
llama_3_1_8b,shared54,17378,anger,HLL,H,L,L,1,3.81,11,12090,3222,15312
llama_3_1_8b,shared54,18,anger,HLL,H,L,L,1,5.52,12,60526,4681,65207
llama_3_1_8b,shared54,10621,anger,HLL,H,L,L,1,13.07,12,50963,4669,55632
llama_3_1_8b,shared54,16010,anger,HLL,H,L,L,1,3.11,11,15334,3289,18623
llama_3_1_8b,shared54,638,anger,HLL,H,L,L,1,6.09,9,12440,3151,15591
llama_3_1_8b,shared54,3665,anger,HLL,H,L,L,1,5.97,12,21187,4276,25463
llama_3_1_8b,shared54,11894,anger,HLL,H,L,L,1,4.08,9,30822,3497,34319
llama_3_1_8b,shared54,10076,anger,HLL,H,L,L,1,15.84,11,14076,3734,17810
llama_3_1_8b,shared54,7846,anger,HLL,H,L,L,1,6.01,12,16397,3790,20187
llama_3_1_8b,shared54,1898,anger,HLL,H,L,L,1,10.09,12,18297,3072,21369
llama_3_1_8b,shared54,7892,anger,HLL,H,L,L,1,1.94,12,57547,5478,63025
llama_3_1_8b,shared54,2580,anger,HLL,H,L,L,0,4.89,3,6850,895,7745
llama_3_1_8b,shared54,2806,anger,HLL,H,L,L,1,5.71,12,19643,4600,24243
llama_3_1_8b,shared54,15924,anger,HLL,H,L,L,1,3.77,11,48892,5325,54217
llama_3_1_8b,shared54,2267,anger,HLL,H,L,L,1,5.11,11,55608,3855,59463
llama_3_1_8b,shared54,17455,anger,HLL,H,L,L,1,4.62,12,25144,3428,28572
llama_3_1_8b,shared54,4120,anger,HLL,H,L,L,1,2.08,11,13485,3601,17086
llama_3_1_8b,shared54,4207,anger,HLL,H,L,L,1,4.84,12,15054,3433,18487
llama_3_1_8b,shared54,15574,anger,HLL,H,L,L,1,7.615,12,18198,4006,22204
llama_3_1_8b,shared54,18015,anger,HLL,H,L,L,1,5.38,12,26143,4253,30396
llama_3_1_8b,shared54,5410,anger,HLL,H,L,L,1,3.91,11,32581,5108,37689
llama_3_1_8b,shared54,8685,anger,HLL,H,L,L,1,5.51,12,19617,4225,23842
llama_3_1_8b,shared54,17290,anger,HLL,H,L,L,1,5.48,12,13084,3694,16778
llama_3_1_8b,shared54,13865,anger,HLL,H,L,L,1,5.75,11,38910,5601,44511
llama_3_1_8b,shared54,6940,anger,HLL,H,L,L,1,8.03,12,14696,3823,18519
llama_3_1_8b,shared54,17671,anger,HLL,H,L,L,1,4.94,12,125929,5192,131121
llama_3_1_8b,shared54,6591,anger,HLL,H,L,L,1,1.448,10,14920,2798,17718
llama_3_1_8b,shared54,10214,anger,HLL,H,L,L,1,5.93,12,16408,3965,20373
llama_3_1_8b,shared54,13074,anger,HLL,H,L,L,1,3.35,12,18104,4192,22296
llama_3_1_8b,shared54,12236,anger,HLL,H,L,L,1,14.94,10,23493,4113,27606
llama_3_1_8b,shared54,14355,anger,HLL,H,L,L,1,5.8566666666666665,12,15079,3337,18416
llama_3_1_8b,shared54,16959,anger,HLL,H,L,L,1,5.05,11,22175,3793,25968
llama_3_1_8b,shared54,14794,anger,HLL,H,L,L,1,6.84,11,21001,3105,24106
llama_3_1_8b,shared54,3965,anger,HLL,H,L,L,0,3.6574999999999998,3,4979,1064,6043
llama_3_1_8b,shared54,8123,anger,HLL,H,L,L,1,4.0,12,19042,4237,23279
llama_3_1_8b,shared54,7362,anger,HLL,H,L,L,1,12.26,9,14870,3073,17943
llama_3_1_8b,shared54,2098,anger,HLL,H,L,L,1,3.03,6,11372,1957,13329
llama_3_1_8b,shared54,11078,anger,HLL,H,L,L,1,4.43,11,29309,3904,33213
llama_3_1_8b,shared54,689,anger,HLL,H,L,L,1,2.965,12,124914,7059,131973
llama_3_1_8b,shared54,7540,anger,HLL,H,L,L,1,16.34,10,15411,2975,18386
llama_3_1_8b,shared54,7216,anger,HLL,H,L,L,1,3.12,12,18141,3066,21207
llama_3_1_8b,shared54,235,anger,HLL,H,L,L,1,5.52,9,37051,2823,39874
llama_3_1_8b,shared54,2326,anger,HLL,H,L,L,1,15.04,12,17040,3756,20796
llama_3_1_8b,shared54,1929,anger,HLL,H,L,L,1,5.07,12,15376,4116,19492
llama_3_1_8b,shared54,7501,anger,HLL,H,L,L,1,4.42,11,27364,3538,30902
llama_3_1_8b,shared54,2208,anger,HLL,H,L,L,1,4.69,6,10244,2456,12700
llama_3_1_8b,shared54,1029,anger,HLL,H,L,L,1,7.785,11,39849,4667,44516
llama_3_1_8b,shared54,10827,anger,HLL,H,L,L,1,4.57,10,20074,3114,23188
llama_3_1_8b,shared54,2321,anger,HLL,H,L,L,1,2.56,10,28465,3960,32425
llama_3_1_8b,shared54,16847,anger,HLL,H,L,L,1,6.89,12,13000,3578,16578
llama_3_1_8b,shared54,7798,anger,HLL,H,L,L,1,4.995,12,17196,3492,20688
llama_3_1_8b,shared54,9125,anger,HLL,H,L,L,1,5.64,11,20417,3243,23660
llama_3_1_8b,shared54,15906,anger,HLL,H,L,L,1,5.56,12,25925,3786,29711
llama_3_1_8b,shared54,7020,anger,HLL,H,L,L,1,4.21,10,11757,2671,14428
llama_3_1_8b,shared54,17669,anger,HLL,H,L,L,1,3.11,11,15623,3232,18855
llama_3_1_8b,shared54,4335,anger,HLL,H,L,L,1,3.38,11,17155,4012,21167
llama_3_1_8b,shared54,15488,anger,HLL,H,L,L,1,4.76,9,10222,2679,12901
llama_3_1_8b,shared54,7962,anger,HLL,H,L,L,1,2.7,11,54715,4439,59154
llama_3_1_8b,shared54,15498,anger,HLL,H,L,L,1,2.57,11,173156,5554,178710
llama_3_1_8b,shared54,13338,anger,HLL,H,L,L,1,6.33,11,15922,4410,20332
llama_3_1_8b,shared54,6239,anger,HLL,H,L,L,1,18.68,10,15323,3149,18472
llama_3_1_8b,shared54,3090,anger,HLL,H,L,L,1,5.38,11,19545,3511,23056
llama_3_1_8b,shared54,3176,anger,HLL,H,L,L,1,6.973333333333334,11,76454,5043,81497
llama_3_1_8b,shared54,14124,anger,HLL,H,L,L,1,5.04,12,39360,5967,45327
llama_3_1_8b,shared54,11609,anger,HLL,H,L,L,1,6.62,9,11144,3272,14416
llama_3_1_8b,shared54,13879,anger,HLL,H,L,L,1,5.35,12,13086,3383,16469
llama_3_1_8b,shared54,13470,anger,HLL,H,L,L,1,12.65,12,17886,3363,21249
llama_3_1_8b,shared54,15303,anger,HLL,H,L,L,1,1.22,11,22821,3450,26271
llama_3_1_8b,shared54,1775,anger,HLL,H,L,L,1,4.97,12,19640,4276,23916
llama_3_1_8b,shared54,3224,anger,HLL,H,L,L,1,3.6,11,43109,4212,47321
llama_3_1_8b,shared54,1986,anger,HLL,H,L,L,1,12.29,12,39055,5482,44537
llama_3_1_8b,shared54,13193,anger,HLL,H,L,L,1,5.49,12,13453,4019,17472
llama_3_1_8b,shared54,11118,anger,HLL,H,L,L,1,1.43,12,13764,3492,17256
llama_3_1_8b,shared54,3580,anger,HLL,H,L,L,1,5.12,11,20019,3269,23288
llama_3_1_8b,shared54,8147,anger,HLL,H,L,L,1,4.25,11,69400,3695,73095
llama_3_1_8b,shared54,6278,anger,HLL,H,L,L,1,7.1499999999999995,5,7991,1450,9441
llama_3_1_8b,shared54,6232,anger,HLL,H,L,L,1,5.22,12,66506,3317,69823
llama_3_1_8b,shared54,17573,anger,HLL,H,L,L,1,3.21,9,24387,2966,27353
llama_3_1_8b,shared54,14700,anger,HLL,H,L,L,1,3.9,11,50325,4075,54400
llama_3_1_8b,shared54,4593,anger,HLL,H,L,L,1,3.005,5,11902,1893,13795
llama_3_1_8b,shared54,13824,anger,HLL,H,L,L,1,4.63,12,22702,4122,26824
llama_3_1_8b,shared54,6012,anger,HLL,H,L,L,1,4.833333333333333,11,18280,3904,22184
llama_3_1_8b,shared54,9127,anger,HLL,H,L,L,1,4.66,12,14435,3643,18078
llama_3_1_8b,shared54,15159,anger,HLL,H,L,L,1,4.68,12,30574,4508,35082
llama_3_1_8b,shared54,8185,anger,HLL,H,L,L,1,11.6,11,26545,3291,29836
llama_3_1_8b,shared54,2470,anger,HLL,H,L,L,1,5.68,10,23138,2555,25693
llama_3_1_8b,shared54,14520,anger,HLL,H,L,L,1,3.365,12,25676,4774,30450
llama_3_1_8b,shared54,18033,anger,HLL,H,L,L,1,7.3133333333333335,11,24464,3786,28250
llama_3_1_8b,shared54,3208,anger,HLL,H,L,L,0,3.89,3,4729,816,5545
llama_3_1_8b,shared54,1657,anger,HLL,H,L,L,1,7.386666666666667,10,14988,2979,17967
llama_3_1_8b,shared54,17713,anger,HLL,H,L,L,1,4.65,12,18035,4786,22821
llama_3_1_8b,shared54,483,anger,HLL,H,L,L,1,6.77,12,21047,4138,25185
llama_3_1_8b,shared54,3056,anger,HLL,H,L,L,1,5.48,9,20380,3751,24131
llama_3_1_8b,shared54,7745,anger,HLL,H,L,L,1,0.85,9,43415,2674,46089
llama_3_1_8b,shared54,5449,anger,HLL,H,L,L,1,3.81,11,21705,3713,25418
llama_3_1_8b,shared54,13317,anger,HLL,H,L,L,1,7.86,11,14390,3513,17903
llama_3_1_8b,shared54,15913,anger,HLL,H,L,L,1,4.53,12,23742,4367,28109
llama_3_1_8b,shared54,15773,anger,HLL,H,L,L,1,33.48,11,21166,3291,24457
llama_3_1_8b,shared54,7004,anger,HLL,H,L,L,1,5.19,10,14959,2433,17392
llama_3_1_8b,shared54,13141,anger,HLL,H,L,L,1,3.54,5,9314,2082,11396
llama_3_1_8b,shared54,1921,anger,HLL,H,L,L,1,4.785,12,25957,4383,30340
llama_3_1_8b,shared54,5394,anger,HLL,H,L,L,1,3.31,9,17016,2642,19658
llama_3_1_8b,shared54,12418,anger,HLL,H,L,L,1,18.76,11,16093,3239,19332
llama_3_1_8b,shared54,70,anger,HLL,H,L,L,1,25.1,10,23312,3249,26561
llama_3_1_8b,shared54,12793,anger,HLL,H,L,L,1,14.63,12,14219,3816,18035
llama_3_1_8b,shared54,8690,anger,HLL,H,L,L,1,4.52,12,18910,4654,23564
llama_3_1_8b,shared54,14909,anger,HLL,H,L,L,1,24.98,11,15634,3580,19214
llama_3_1_8b,shared54,9347,anger,HLL,H,L,L,1,5.91,12,16618,4409,21027
llama_3_1_8b,shared54,13861,anger,HLL,H,L,L,1,12.0,12,13699,3546,17245
llama_3_1_8b,shared54,15947,anger,HLL,H,L,L,1,2.99,12,30296,4530,34826
llama_3_1_8b,shared54,5072,anger,HLL,H,L,L,1,4.376,9,79572,4846,84418
llama_3_1_8b,shared54,6222,anger,HLL,H,L,L,0,9.56,3,4962,823,5785
llama_3_1_8b,shared54,9722,anger,HLL,H,L,L,1,3.66,12,39127,4445,43572
llama_3_1_8b,shared54,7133,anger,HLL,H,L,L,1,0.0,11,13627,3567,17194
llama_3_1_8b,shared54,1916,anger,HLL,H,L,L,1,4.97,12,16238,4086,20324
llama_3_1_8b,shared54,17766,anger,HLL,H,L,L,1,3.99,11,17932,3682,21614
llama_3_1_8b,shared54,1997,anger,HLL,H,L,L,1,3.13,11,24302,5459,29761
llama_3_1_8b,shared54,10276,anger,HLL,H,L,L,1,2.32,11,13849,3845,17694
llama_3_1_8b,shared54,1873,anger,HLL,H,L,L,1,8.73,12,24563,4419,28982
llama_3_1_8b,shared54,1643,anger,HLL,H,L,L,1,5.53,11,33481,4342,37823
llama_3_1_8b,shared54,15623,anger,HLL,H,L,L,1,7.62,10,12040,3003,15043
llama_3_1_8b,shared54,16477,anger,HLL,H,L,L,1,6.79,12,14396,3391,17787
llama_3_1_8b,shared54,17403,anger,HLL,H,L,L,0,1.19,3,4296,832,5128
llama_3_1_8b,shared54,5158,anger,HLL,H,L,L,1,6.07,12,15405,3758,19163
llama_3_1_8b,shared54,1863,anger,HLL,H,L,L,1,7.4399999999999995,11,37554,4549,42103
llama_3_1_8b,shared54,16640,anger,HLL,H,L,L,1,3.11,12,15986,2731,18717
llama_3_1_8b,shared54,2625,anger,HLL,H,L,L,1,3.73,12,29922,4127,34049
llama_3_1_8b,shared54,6089,anger,HLL,H,L,L,1,8.27,11,13974,3654,17628
llama_3_1_8b,shared54,2245,anger,HLL,H,L,L,1,3.8,11,49764,4069,53833
llama_3_1_8b,shared54,2226,anger,HLL,H,L,L,1,5.84,12,19573,4216,23789
llama_3_1_8b,shared54,7707,anger,HLL,H,L,L,1,4.79,11,25626,3132,28758
llama_3_1_8b,shared54,13230,anger,HLL,H,L,L,1,3.37,12,22071,4553,26624
llama_3_1_8b,shared54,3928,anger,HLL,H,L,L,1,2.97,12,44914,5121,50035
llama_3_1_8b,shared54,8067,anger,HLL,H,L,L,1,12.85,11,20466,3364,23830
llama_3_1_8b,shared54,1302,anger,HLL,H,L,L,1,16.855,11,14207,3845,18052
llama_3_1_8b,shared54,2686,anger,HLL,H,L,L,1,3.9400000000000004,12,16929,3567,20496
llama_3_1_8b,shared54,13737,anger,HLL,H,L,L,1,2.34,11,23880,3858,27738
llama_3_1_8b,shared54,17130,anger,HLL,H,L,L,1,3.545,11,27058,3736,30794
llama_3_1_8b,shared54,10366,anger,HLL,H,L,L,1,3.6,12,16664,3783,20447
llama_3_1_8b,shared54,8544,anger,HLL,H,L,L,1,4.95,9,15185,3251,18436
llama_3_1_8b,shared54,6693,anger,HLL,H,L,L,1,4.21,12,15759,3467,19226
llama_3_1_8b,shared54,10295,anger,HLL,H,L,L,1,7.300000000000001,12,21748,4986,26734
llama_3_1_8b,shared54,7821,anger,HLL,H,L,L,1,2.244,12,32017,5579,37596
llama_3_1_8b,shared54,8703,anger,HLL,H,L,L,1,4.19,11,29222,3793,33015
llama_3_1_8b,shared54,12969,anger,HLL,H,L,L,1,11.15,12,49850,4817,54667
llama_3_1_8b,shared54,4288,anger,HLL,H,L,L,1,4.5,11,47238,3866,51104
llama_3_1_8b,shared54,9830,anger,HLL,H,L,L,1,22.63,11,19944,4047,23991
llama_3_1_8b,shared54,14982,anger,HLL,H,L,L,1,17.7,11,12845,3321,16166
llama_3_1_8b,shared54,10360,anger,HLL,H,L,L,1,3.6266666666666665,12,22541,4575,27116
llama_3_1_8b,shared54,2377,anger,HLL,H,L,L,1,4.13,12,33547,5346,38893
llama_3_1_8b,shared54,305,anger,HLL,H,L,L,1,3.8,11,18021,3789,21810
llama_3_1_8b,shared54,15017,anger,HLL,H,L,L,1,5.782,11,15250,3457,18707
llama_3_1_8b,shared54,3276,anger,HLL,H,L,L,1,6.5,11,61347,6152,67499
llama_3_1_8b,shared54,2400,anger,HLL,H,L,L,1,3.01,12,51218,5451,56669
llama_3_1_8b,shared54,17617,anger,HLL,H,L,L,1,4.21,11,23925,3894,27819
llama_3_1_8b,shared54,6984,anger,HLL,H,L,L,0,4.68,3,3006,762,3768
llama_3_1_8b,shared54,16576,anger,HLL,H,L,L,1,6.76,12,16504,4386,20890
llama_3_1_8b,shared54,4340,anger,HLL,H,L,L,1,6.16,12,30742,4061,34803
llama_3_1_8b,shared54,11436,anger,HLL,H,L,L,1,3.1,12,16722,3971,20693
